评论,地区,日期,点赞,情绪
官宣儿子就一岁了,辽宁,Sun Nov 06 20:57:40 +0800 2022,5,disgust
冰哥啥时候出一个和嫂子的情感故事,广东,Wed Nov 09 10:50:26 +0800 2022,2,like
恭喜恭喜，大嫂好漂亮啊,广东,Sun Nov 06 22:57:13 +0800 2022,7,happiness
啥，第一次看到你的微博，居然结婚了，还有娃,四川,Mon Nov 07 20:57:41 +0800 2022,5,surprise
退伍军人风雨无阻照顾流浪毛孩子十四载,黑龙江,Mon Nov 07 19:50:18 +0800 2022,4,like
嫂子真好看,甘肃,Mon Nov 07 09:24:09 +0800 2022,6,happiness
恭喜,湖南,Mon Nov 07 01:24:35 +0800 2022,3,happiness
恭喜恭喜🎉,广东,Sun Nov 06 22:36:38 +0800 2022,3,happiness
所以去年跟上海的那个傻白甜也是剧本咯？,江苏,Tue Nov 08 17:34:17 +0800 2022,3,like
像不像吴谨言,吉林,Mon Nov 07 08:12:47 +0800 2022,3,like
媳妇真好看,安徽,Mon Nov 07 04:49:47 +0800 2022,9,happiness
管你结婚没当爹没，就是喜欢看你干饭，嘿，怎么滴，哈哈哈，绝不脱粉,河南,Thu Nov 10 11:15:52 +0800 2022,2,happiness
就冲这条微博。我粉了呼呼，恭喜恭喜。,广西,Mon Nov 07 08:49:22 +0800 2022,3,happiness
什么？你结婚了？孩子都一岁了？,安徽,Mon Nov 07 00:52:51 +0800 2022,6,disgust
你的目的达到了,吉林,Sun Nov 06 21:05:30 +0800 2022,6,happiness
你结婚了？我心都碎了，这是周杰伦结婚后我为第二个男人心碎,广东,Thu Nov 10 22:34:34 +0800 2022,2,like
哥 你都有孩子啦,安徽,Wed Nov 09 09:20:13 +0800 2022,1,anger
白冰有孩子了，爷青结！！！,山东,Wed Nov 09 09:14:12 +0800 2022,1,disgust
恭喜恭喜冰哥,湖南,Wed Nov 09 01:17:36 +0800 2022,1,happiness
生日快乐,广东,Tue Nov 08 16:07:57 +0800 2022,1,happiness
好男人果然成家立业早啊,浙江,Mon Nov 07 19:39:38 +0800 2022,2,disgust
可惜了不能去扒席长见识了,湖北,Mon Nov 07 08:55:26 +0800 2022,1,surprise
大哥早安,陕西,Mon Nov 07 07:43:55 +0800 2022,4,happiness
大哥，太棒了，可算是官宣了,山西,Mon Nov 07 07:41:57 +0800 2022,1,like
这是啥情况啊,江苏,Sun Nov 06 20:34:53 +0800 2022,3,surprise
祝小帅哥生日快乐,陕西,Wed Nov 09 00:42:01 +0800 2022,1,like
羡慕我大哥，出生就是富二代,北京,Tue Nov 08 19:03:28 +0800 2022,2,like
